기준일자,관심,관찰1,관찰2,관찰3,부도,정상,폐업,휴업,시도
2018,863.0,1036.0,1969.0,608.0,24.0,24655.0,2544.0,67.0,강원
2019,703.0,1038.0,2160.0,610.0,26.0,26498.0,2647.0,83.0,강원
2020,638.0,1107.0,2147.0,464.0,0.0,28102.0,2855.0,95.0,강원
2018,7468.0,11266.0,30707.0,7313.0,107.0,257014.0,38466.0,674.0,경기
2019,6533.0,11481.0,34509.0,8098.0,78.0,271478.0,39213.0,862.0,경기
2020,6162.0,11211.0,35219.0,7322.0,58.0,291381.0,47246.0,1255.0,경기
2018,1589.0,1378.0,3896.0,1284.0,44.0,47802.0,6611.0,120.0,경남
2019,1292.0,1511.0,4324.0,1553.0,22.0,48460.0,6471.0,139.0,경남
2020,1332.0,1366.0,4187.0,1415.0,8.0,49891.0,7506.0,177.0,경남
2018,1419.0,2013.0,4605.0,1242.0,6.0,45433.0,4979.0,85.0,경북
2019,1201.0,2034.0,5155.0,1358.0,0.0,46877.0,5218.0,82.0,경북
2020,989.0,1962.0,5168.0,1187.0,8.0,48700.0,6116.0,89.0,경북
2018,1062.0,1584.0,4098.0,907.0,0.0,38062.0,4556.0,90.0,광주
2019,831.0,1666.0,4728.0,1056.0,0.0,40594.0,4648.0,111.0,광주
2020,732.0,1911.0,4568.0,881.0,0.0,42743.0,5655.0,111.0,광주
2018,845.0,1907.0,4118.0,839.0,29.0,38214.0,5806.0,66.0,대구
2019,865.0,1795.0,4578.0,1089.0,9.0,39666.0,5598.0,80.0,대구
2020,874.0,1774.0,4649.0,979.0,0.0,41545.0,6518.0,159.0,대구
2018,935.0,1493.0,3959.0,677.0,0.0,28431.0,4345.0,114.0,대전
2019,695.0,1468.0,4077.0,919.0,0.0,30120.0,4485.0,98.0,대전
2020,714.0,1494.0,3559.0,822.0,0.0,32462.0,5149.0,139.0,대전
2018,1663.0,2088.0,5105.0,1730.0,27.0,57552.0,7899.0,131.0,부산
2019,1581.0,2273.0,5549.0,1987.0,30.0,60025.0,8155.0,137.0,부산
2020,1394.0,2127.0,5564.0,1635.0,36.0,62296.0,9784.0,299.0,부산
2018,9345.0,13371.0,27327.0,8192.0,155.0,280139.0,47703.0,973.0,서울
2019,8251.0,14026.0,28620.0,9067.0,85.0,291487.0,48017.0,1094.0,서울
2020,7514.0,13636.0,27164.0,7873.0,68.0,301304.0,56994.0,1521.0,서울
2018,242.0,251.0,464.0,92.0,0.0,5642.0,387.0,12.0,세종
2019,181.0,303.0,495.0,150.0,0.0,6155.0,429.0,17.0,세종
2020,180.0,200.0,514.0,132.0,0.0,7024.0,560.0,7.0,세종
2018,567.0,486.0,1449.0,525.0,8.0,14400.0,1912.0,49.0,울산
2019,468.0,395.0,1656.0,573.0,0.0,15296.0,2035.0,93.0,울산
2020,328.0,591.0,1583.0,487.0,4.0,15641.0,2476.0,93.0,울산
2018,1198.0,2272.0,5777.0,1540.0,94.0,46543.0,8315.0,137.0,인천
2019,1224.0,2336.0,6497.0,1801.0,74.0,49033.0,8171.0,223.0,인천
2020,1099.0,2357.0,6443.0,1553.0,58.0,52179.0,10091.0,298.0,인천
2018,1674.0,972.0,3080.0,974.0,0.0,42407.0,4224.0,81.0,전남
2019,1421.0,1101.0,3174.0,1121.0,0.0,44052.0,4256.0,122.0,전남
2020,1248.0,1074.0,3206.0,1012.0,0.0,45440.0,4800.0,150.0,전남
2018,1494.0,1618.0,4459.0,1217.0,5.0,40483.0,4728.0,58.0,전북
2019,1368.0,1709.0,4504.0,1276.0,3.0,41704.0,4868.0,81.0,전북
2020,1001.0,1657.0,4632.0,1150.0,0.0,44295.0,5774.0,119.0,전북
2018,626.0,464.0,907.0,341.0,0.0,17119.0,1666.0,45.0,제주
2019,703.0,475.0,1034.0,405.0,0.0,17828.0,1807.0,44.0,제주
2020,537.0,533.0,1093.0,449.0,0.0,17801.0,2294.0,61.0,제주
2018,1354.0,2017.0,4761.0,871.0,0.0,43172.0,5390.0,111.0,충남
2019,1067.0,1887.0,5059.0,1196.0,0.0,44437.0,5553.0,76.0,충남
2020,1043.0,1913.0,4946.0,1051.0,5.0,47971.0,6503.0,128.0,충남
2018,1063.0,1197.0,2845.0,821.0,10.0,31722.0,3845.0,57.0,충북
2019,931.0,1116.0,3050.0,896.0,12.0,32556.0,3887.0,100.0,충북
2020,774.0,1174.0,2904.0,772.0,0.0,33843.0,4557.0,114.0,충북
