,ADM_SECT_C,SGG_OID,COL_ADM_SE,GID,신설법인수
강남구,11680,33,11680,129,7628
강동구,11740,337,11740,127,668
강북구,11305,49,11305,143,318
강서구,11500,65,11500,136,2227
관악구,11620,33,11620,131,526
광진구,11215,33,11215,147,687
구로구,11530,33,11530,135,1685
금천구,11545,33,11545,134,1951
동대문구,11230,49,11230,146,567
동작구,11590,689,11590,132,370
마포구,11440,673,11440,138,1822
서대문구,11410,1025,11410,139,603
서울시노원구,11350,33,11350,141,357
서울시도봉구,11320,33,11320,142,241
서울시성북구,11290,337,11290,144,416
서초구,11650,33,11650,130,3545
성동구,11200,49,11200,148,1373
송파구,11710,1969,11710,128,2171
양천구,11470,337,11470,137,462
영등포구,11560,481,11560,133,4816
용산구,11170,33,11170,149,852
은평구,11380,33,11380,140,466
종로구,11110,353,11110,151,1029
중구,11140,33,11140,150,2987
중랑구,11260,33,11260,145,311
